Region,Year,Mean_kW,Max_kW,Std_kW,CoV
north_chennai,2016,18756.845395036427,86678.75,25314.535777703157,1.3496158466179005
north_chennai,2017,18090.78520547945,83117.25,24441.762286253845,1.3510614386627493
north_chennai,2018,18376.584023972606,83980.0,24745.029966761816,1.3465522174568163
north_chennai,2019,18453.765576484016,85259.25,24859.872697425708,1.3471436273746273
north_chennai,2020,17803.889532103825,85378.25,24468.632554082633,1.3743419666787418
central_chennai,2016,18756.845395036427,86678.75,25314.535777703157,1.3496158466179005
central_chennai,2017,18090.78520547945,83117.25,24441.762286253845,1.3510614386627493
central_chennai,2018,18376.584023972606,83980.0,24745.029966761816,1.3465522174568163
central_chennai,2019,18453.765576484016,85259.25,24859.872697425708,1.3471436273746273
central_chennai,2020,17803.889532103825,85378.25,24468.632554082633,1.3743419666787418
south_chennai,2016,19334.835524817852,86978.8,26034.992777408082,1.3465329324363804
south_chennai,2017,18545.97320776256,86831.75,25084.968524503613,1.352583024006748
south_chennai,2018,18840.99200342466,86321.75,25281.25167260315,1.3418216868839956
south_chennai,2019,19093.546700913244,86270.75,25502.953485509857,1.3356844532341416
south_chennai,2020,18427.828625910748,86582.7,25043.607646308676,1.3590102314656705
