month,day_of_month,hour,carbon_kg_kwh
1,1,0,0.136
1,1,1,0.1363
1,1,2,0.1323
1,1,3,0.1309
1,1,4,0.1352
1,1,5,0.1424
1,1,6,0.1505
1,1,7,0.1502
1,1,8,0.1501
1,1,9,0.1482
1,1,10,0.1448
1,1,11,0.1468
1,1,12,0.1527
1,1,13,0.1536
1,1,14,0.156
1,1,15,0.1615
1,1,16,0.1658
1,1,17,0.1714
1,1,18,0.171
1,1,19,0.1697
1,1,20,0.1681
1,1,21,0.1675
1,1,22,0.1615
1,1,23,0.1558
1,2,0,0.1462
1,2,1,0.1452
1,2,2,0.1451
1,2,3,0.1519
1,2,4,0.1449
1,2,5,0.1515
1,2,6,0.1591
1,2,7,0.1548
1,2,8,0.1603
1,2,9,0.1605
1,2,10,0.1569
1,2,11,0.1514
1,2,12,0.1504
1,2,13,0.1526
1,2,14,0.1528
1,2,15,0.1537
1,2,16,0.1638
1,2,17,0.1703
1,2,18,0.1758
1,2,19,0.1737
1,2,20,0.1719
1,2,21,0.1673
1,2,22,0.161
1,2,23,0.1431
1,3,0,0.1408
1,3,1,0.1448
1,3,2,0.144
1,3,3,0.1414
1,3,4,0.143
1,3,5,0.1384
1,3,6,0.1468
1,3,7,0.1489
1,3,8,0.1449
1,3,9,0.1416
1,3,10,0.1415
1,3,11,0.1396
1,3,12,0.1391
1,3,13,0.1401
1,3,14,0.1432
1,3,15,0.1525
1,3,16,0.1621
1,3,17,0.1728
1,3,18,0.1714
1,3,19,0.172
1,3,20,0.1768
1,3,21,0.165
1,3,22,0.155
1,3,23,0.1539
1,4,0,0.1622
1,4,1,0.162
1,4,2,0.1639
1,4,3,0.1698
1,4,4,0.1761
1,4,5,0.1958
1,4,6,0.2117
1,4,7,0.2088
1,4,8,0.2074
1,4,9,0.2048
1,4,10,0.2006
1,4,11,0.2009
1,4,12,0.2011
1,4,13,0.2018
1,4,14,0.1996
1,4,15,0.2015
1,4,16,0.2104
1,4,17,0.2191
1,4,18,0.2203
1,4,19,0.2178
1,4,20,0.2167
1,4,21,0.2153
1,4,22,0.1985
1,4,23,0.186
1,5,0,0.1744
1,5,1,0.1676
1,5,2,0.1662
1,5,3,0.1645
1,5,4,0.1735
1,5,5,0.1764
1,5,6,0.2
1,5,7,0.2036
1,5,8,0.2101
1,5,9,0.2232
1,5,10,0.2075
1,5,11,0.201
1,5,12,0.2017
1,5,13,0.2053
1,5,14,0.2042
1,5,15,0.2042
1,5,16,0.2089
1,5,17,0.2128
1,5,18,0.2146
1,5,19,0.2096
1,5,20,0.2052
1,5,21,0.1952
1,5,22,0.1808
1,5,23,0.1756
1,6,0,0.1591
1,6,1,0.153
1,6,2,0.1527
1,6,3,0.1544
1,6,4,0.1591
1,6,5,0.1647
1,6,6,0.1842
1,6,7,0.1831
1,6,8,0.183
1,6,9,0.1764
1,6,10,0.1697
1,6,11,0.1686
1,6,12,0.168
1,6,13,0.1755
1,6,14,0.1775
1,6,15,0.1866
1,6,16,0.1893
1,6,17,0.1915
1,6,18,0.1885
1,6,19,0.1849
1,6,20,0.1854
1,6,21,0.1808
1,6,22,0.1776
1,6,23,0.1754
1,7,0,0.1813
1,7,1,0.1831
1,7,2,0.1844
1,7,3,0.1864
1,7,4,0.1936
1,7,5,0.2009
1,7,6,0.2036
1,7,7,0.2029
1,7,8,0.2032
1,7,9,0.2041
1,7,10,0.2054
1,7,11,0.2064
1,7,12,0.2031
1,7,13,0.2008
1,7,14,0.2022
1,7,15,0.203
1,7,16,0.2068
1,7,17,0.2107
1,7,18,0.2164
1,7,19,0.2135
1,7,20,0.21
1,7,21,0.2027
1,7,22,0.1881
1,7,23,0.1791
1,8,0,0.1681
1,8,1,0.159
1,8,2,0.1578
1,8,3,0.1569
1,8,4,0.1601
1,8,5,0.1701
1,8,6,0.1768
1,8,7,0.177
1,8,8,0.1797
1,8,9,0.1838
1,8,10,0.1886
1,8,11,0.1862
1,8,12,0.1839
1,8,13,0.1856
1,8,14,0.1838
1,8,15,0.1861
1,8,16,0.1907
1,8,17,0.1935
1,8,18,0.1909
1,8,19,0.1894
1,8,20,0.1867
1,8,21,0.1803
1,8,22,0.1611
1,8,23,0.1507
1,9,0,0.1556
1,9,1,0.146
1,9,2,0.1438
1,9,3,0.1402
1,9,4,0.141
1,9,5,0.1442
1,9,6,0.1484
1,9,7,0.1532
1,9,8,0.1629
1,9,9,0.1684
1,9,10,0.1617
1,9,11,0.1629
1,9,12,0.1651
1,9,13,0.1585
1,9,14,0.1601
1,9,15,0.166
1,9,16,0.1729
1,9,17,0.1853
1,9,18,0.1873
1,9,19,0.181
1,9,20,0.1794
1,9,21,0.165
1,9,22,0.1435
1,9,23,0.1383
