month,day_of_month,hour,price_per_kwh
1,1,0,2.584
1,1,1,2.21
1,1,2,1.865
1,1,3,1.868
1,1,4,1.94
1,1,5,2.178
1,1,6,2.238
1,1,7,2.363
1,1,8,2.249
1,1,9,2.582
1,1,10,2.702
1,1,11,2.865
1,1,12,2.82
1,1,13,2.75
1,1,14,2.724
1,1,15,2.544
1,1,16,3.199
1,1,17,4.955
1,1,18,3.882
1,1,19,3.714
1,1,20,3.559
1,1,21,3.188
1,1,22,2.611
1,1,23,2.398
1,2,0,2.498
1,2,1,2.13
1,2,2,2.121
1,2,3,2.079
1,2,4,1.99
1,2,5,2.139
1,2,6,1.678
1,2,7,2.151
1,2,8,1.77
1,2,9,2.785
1,2,10,2.825
1,2,11,2.887
1,2,12,2.818
1,2,13,2.656
1,2,14,2.6
1,2,15,2.462
1,2,16,3.234
1,2,17,4.546
1,2,18,4.132
1,2,19,3.284
1,2,20,3.13
1,2,21,2.8
1,2,22,2.017
1,2,23,2.504
1,3,0,2.604
1,3,1,2.268
1,3,2,2.296
1,3,3,2.223
1,3,4,2.189
1,3,5,2.251
1,3,6,1.683
1,3,7,1.544
1,3,8,1.732
1,3,9,2.263
1,3,10,2.695
1,3,11,2.681
1,3,12,2.677
1,3,13,2.608
1,3,14,2.662
1,3,15,2.597
1,3,16,3.133
1,3,17,4.289
1,3,18,4.141
1,3,19,3.461
1,3,20,3.439
1,3,21,2.974
1,3,22,2.529
1,3,23,2.643
1,4,0,2.933
1,4,1,2.827
1,4,2,2.809
1,4,3,2.818
1,4,4,2.833
1,4,5,3.332
1,4,6,4.488
1,4,7,4.584
1,4,8,4.243
1,4,9,4.299
1,4,10,4.629
1,4,11,4.647
1,4,12,4.361
1,4,13,4.145
1,4,14,3.835
1,4,15,3.741
1,4,16,4.91
1,4,17,7.575
1,4,18,6.581
1,4,19,5.982
1,4,20,5.17
1,4,21,4.678
1,4,22,4.257
1,4,23,3.727
1,5,0,3.528
1,5,1,3.687
1,5,2,3.5
1,5,3,3.498
1,5,4,3.099
1,5,5,3.514
1,5,6,5.328
1,5,7,6.278
1,5,8,5.5
1,5,9,5.188
1,5,10,4.665
1,5,11,4.37
1,5,12,3.904
1,5,13,3.721
1,5,14,3.646
1,5,15,3.621
1,5,16,4.653
1,5,17,7.057
1,5,18,5.8
1,5,19,5.087
1,5,20,4.411
1,5,21,3.998
1,5,22,3.898
1,5,23,3.244
1,6,0,4.1
1,6,1,4.011
1,6,2,3.83
1,6,3,3.803
1,6,4,3.972
1,6,5,4.685
1,6,6,5.775
1,6,7,6.749
1,6,8,6.501
1,6,9,6.203
1,6,10,5.478
1,6,11,5.221
1,6,12,4.468
1,6,13,4.34
1,6,14,4.237
1,6,15,4.294
1,6,16,4.826
1,6,17,7.099
1,6,18,6.203
1,6,19,5.419
1,6,20,4.829
1,6,21,4.358
1,6,22,3.769
1,6,23,3.467
1,7,0,4.025
1,7,1,3.168
1,7,2,3.082
1,7,3,3.055
1,7,4,3.043
1,7,5,3.058
1,7,6,3.869
1,7,7,4.548
1,7,8,4.225
1,7,9,4.594
1,7,10,4.21
1,7,11,3.72
1,7,12,3.187
1,7,13,3.129
1,7,14,3.056
1,7,15,3.129
1,7,16,4.101
1,7,17,5.175
1,7,18,4.833
1,7,19,4.171
1,7,20,3.952
1,7,21,3.377
1,7,22,2.96
1,7,23,2.847
1,8,0,3.166
1,8,1,2.925
1,8,2,2.701
1,8,3,2.662
1,8,4,2.606
1,8,5,2.886
1,8,6,3.995
1,8,7,4.527
1,8,8,4.11
1,8,9,4.162
1,8,10,3.829
1,8,11,3.338
1,8,12,3.045
1,8,13,2.997
1,8,14,2.902
1,8,15,3.051
1,8,16,3.579
1,8,17,4.834
1,8,18,4.571
1,8,19,3.818
1,8,20,3.514
1,8,21,3.191
1,8,22,2.741
1,8,23,2.239
1,9,0,2.654
1,9,1,2.522
1,9,2,2.314
1,9,3,2.268
1,9,4,1.921
1,9,5,2.104
1,9,6,2.223
1,9,7,2.189
1,9,8,2.498
1,9,9,2.897
1,9,10,2.913
1,9,11,2.907
1,9,12,2.582
1,9,13,2.371
1,9,14,2.362
1,9,15,2.385
1,9,16,2.846
1,9,17,3.97
1,9,18,3.72
1,9,19,3.236
1,9,20,2.903
1,9,21,2.618
1,9,22,2.385
1,9,23,2.251
1,10,0,1.806
1,10,1,1.631
1,10,2,1.558
1,10,3,1.318
1,10,4,1.15
1,10,5,1.207
1,10,6,1.302
1,10,7,1.569
1,10,8,1.499
1,10,9,2.171
1,10,10,2.211
1,10,11,2.368
1,10,12,2.337
1,10,13,2.173
1,10,14,2.045
1,10,15,2.049
1,10,16,2.667
1,10,17,3.761
1,10,18,3.383
1,10,19,2.924
1,10,20,2.793
1,10,21,2.262
1,10,22,1.996
1,10,23,1.511
1,11,0,1.861
1,11,1,1.835
1,11,2,1.664
1,11,3,1.714
1,11,4,1.701
1,11,5,1.941
1,11,6,3.146
1,11,7,3.832
1,11,8,3.844
1,11,9,3.922
1,11,10,4.275
1,11,11,3.851
1,11,12,3.63
1,11,13,3.376
1,11,14,3.238
1,11,15,3.303
1,11,16,4.416
1,11,17,6.661
1,11,18,6.079
1,11,19,4.841
1,11,20,4.536
1,11,21,3.88
1,11,22,3.3
1,11,23,2.785
1,12,0,2.773
1,12,1,2.678
1,12,2,2.521
1,12,3,2.452
1,12,4,2.379
1,12,5,2.943
1,12,6,4.457
1,12,7,5.052
1,12,8,4.728
1,12,9,4.837
1,12,10,4.834
1,12,11,4.267
1,12,12,3.932
1,12,13,3.75
1,12,14,3.716
1,12,15,3.708
1,12,16,4.561
1,12,17,6.514
1,12,18,5.738
1,12,19,4.8
1,12,20,4.434
1,12,21,4.055
1,12,22,3.33
1,12,23,2.866
1,13,0,3.256
1,13,1,3.241
1,13,2,3.096
1,13,3,2.984
1,13,4,2.838
1,13,5,3.657
1,13,6,4.861
1,13,7,5.579
1,13,8,5.182
1,13,9,5.226
1,13,10,5.149
1,13,11,4.606
1,13,12,4.5
1,13,13,4.353
1,13,14,4.343
1,13,15,4.359
1,13,16,4.967
1,13,17,7.037
1,13,18,6.611
1,13,19,5.672
1,13,20,5.469
1,13,21,4.739
1,13,22,4.12
1,13,23,3.454
1,14,0,2.927
1,14,1,2.819
1,14,2,2.597
1,14,3,2.591
1,14,4,2.486
1,14,5,2.937
1,14,6,4.957
1,14,7,5.755
1,14,8,5.629
1,14,9,5.555
1,14,10,4.835
1,14,11,4.43
1,14,12,4.146
1,14,13,3.967
1,14,14,3.681
1,14,15,3.738
1,14,16,4.659
1,14,17,6.62
1,14,18,6.005
1,14,19,5.154
1,14,20,4.837
1,14,21,4.306
1,14,22,3.373
1,14,23,2.85
1,15,0,2.594
1,15,1,2.475
1,15,2,2.309
1,15,3,2.294
1,15,4,2.208
1,15,5,2.623
1,15,6,3.206
1,15,7,3.66
1,15,8,3.55
1,15,9,3.448
1,15,10,3.378
1,15,11,3.356
1,15,12,3.04
1,15,13,3.033
1,15,14,3.021
1,15,15,2.923
1,15,16,3.211
1,15,17,4.257
1,15,18,3.879
1,15,19,3.347
1,15,20,3.19
1,15,21,2.961
1,15,22,2.477
1,15,23,2.181
1,16,0,1.802
1,16,1,1.606
1,16,2,1.55
1,16,3,1.353
1,16,4,1.192
1,16,5,1.162
1,16,6,1.308
1,16,7,1.891
1,16,8,2.181
1,16,9,2.399
1,16,10,2.596
1,16,11,2.558
1,16,12,2.475
1,16,13,2.372
1,16,14,2.21
1,16,15,2.319
1,16,16,2.553
1,16,17,3.536
1,16,18,3.226
1,16,19,2.871
1,16,20,2.663
1,16,21,2.32
1,16,22,2.236
1,16,23,1.698
1,17,0,2.012
1,17,1,1.731
1,17,2,1.504
1,17,3,1.507
1,17,4,1.386
1,17,5,1.492
1,17,6,1.758
1,17,7,1.797
1,17,8,2.044
1,17,9,2.34
1,17,10,2.766
1,17,11,2.773
1,17,12,2.499
1,17,13,2.305
1,17,14,2.305
1,17,15,2.335
1,17,16,3.031
1,17,17,4.497
1,17,18,4.067
1,17,19,3.582
1,17,20,3.451
1,17,21,2.799
1,17,22,2.519
1,17,23,2.106
1,18,0,2.601
1,18,1,2.352
1,18,2,2.173
1,18,3,2.14
1,18,4,2.209
1,18,5,2.748
1,18,6,4.022
1,18,7,4.49
1,18,8,4.685
1,18,9,4.997
1,18,10,5.475
1,18,11,5.702
1,18,12,5.031
1,18,13,4.496
1,18,14,4.146
1,18,15,4.305
1,18,16,5.364
1,18,17,8.517
1,18,18,8.598
1,18,19,7.143
1,18,20,6.59
1,18,21,5.123
1,18,22,4.386
1,18,23,3.686
1,19,0,3.577
1,19,1,3.391
1,19,2,3.18
1,19,3,3.199
1,19,4,3.228
1,19,5,3.962
1,19,6,5.467
1,19,7,6.401
1,19,8,6.908
1,19,9,7.498
1,19,10,7.718
1,19,11,7.25
1,19,12,7.099
1,19,13,6.974
1,19,14,6.798
1,19,15,6.975
1,19,16,6.977
1,19,17,9.221
1,19,18,8.587
1,19,19,7.813
1,19,20,7.04
1,19,21,6.006
1,19,22,4.374
1,19,23,3.765
1,20,0,3.099
1,20,1,2.831
1,20,2,2.633
1,20,3,2.538
1,20,4,2.656
1,20,5,3.477
1,20,6,5.293
1,20,7,5.786
1,20,8,5.938
1,20,9,5.93
1,20,10,5.658
1,20,11,5.097
1,20,12,4.506
1,20,13,4.138
1,20,14,3.965
1,20,15,4.147
1,20,16,4.84
1,20,17,7.444
1,20,18,7.465
1,20,19,5.838
1,20,20,5.532
1,20,21,4.535
1,20,22,3.606
1,20,23,3.165
1,21,0,3.327
1,21,1,3.115
1,21,2,2.981
1,21,3,3.045
1,21,4,2.941
1,21,5,3.505
1,21,6,4.822
1,21,7,5.275
1,21,8,5.055
1,21,9,4.693
1,21,10,4.473
1,21,11,4.062
1,21,12,3.623
1,21,13,3.599
1,21,14,3.412
1,21,15,3.548
1,21,16,4.167
1,21,17,5.603
1,21,18,5.628
1,21,19,4.841
1,21,20,4.729
1,21,21,4.2
1,21,22,3.365
1,21,23,3.381
1,22,0,3.333
1,22,1,3.091
1,22,2,3.018
1,22,3,2.98
1,22,4,2.828
1,22,5,3.275
1,22,6,4.347
1,22,7,4.657
1,22,8,4.577
1,22,9,4.828
1,22,10,4.825
1,22,11,4.817
1,22,12,4.5
1,22,13,3.569
1,22,14,3.47
1,22,15,3.515
1,22,16,4.164
1,22,17,6.085
1,22,18,5.808
1,22,19,4.444
1,22,20,4.436
1,22,21,3.875
1,22,22,3.413
1,22,23,3.114
1,23,0,3.152
1,23,1,2.961
1,23,2,2.72
1,23,3,2.675
1,23,4,2.576
1,23,5,2.755
1,23,6,3.305
1,23,7,3.157
1,23,8,3.844
1,23,9,4.114
1,23,10,4.195
1,23,11,4.128
1,23,12,4.064
1,23,13,3.763
1,23,14,3.591
1,23,15,3.588
1,23,16,4.202
1,23,17,5.402
1,23,18,5.378
1,23,19,4.279
1,23,20,4.096
1,23,21,3.758
1,23,22,3.339
1,23,23,3.19
1,24,0,3.4
1,24,1,3.172
1,24,2,3.048
1,24,3,3.017
1,24,4,2.818
1,24,5,2.993
1,24,6,3.162
1,24,7,2.889
1,24,8,3.219
1,24,9,3.912
1,24,10,4.222
1,24,11,4.061
1,24,12,3.851
1,24,13,3.499
1,24,14,3.327
1,24,15,3.376
1,24,16,4.209
1,24,17,5.809
1,24,18,5.67
1,24,19,4.651
1,24,20,4.637
1,24,21,4.247
1,24,22,3.724
1,24,23,3.144
1,25,0,3.739
1,25,1,3.291
1,25,2,3.131
1,25,3,3.128
1,25,4,3.135
1,25,5,3.605
1,25,6,4.731
1,25,7,4.5
1,25,8,4.488
1,25,9,4.504
1,25,10,4.678
1,25,11,4.441
1,25,12,4.068
1,25,13,3.67
1,25,14,3.48
1,25,15,3.433
1,25,16,4.106
1,25,17,5.53
1,25,18,5.389
1,25,19,4.599
1,25,20,4.183
1,25,21,3.751
1,25,22,3.213
1,25,23,3.091
1,26,0,3.221
1,26,1,2.879
1,26,2,2.918
1,26,3,2.919
1,26,4,2.79
1,26,5,3.125
1,26,6,3.899
1,26,7,4.266
1,26,8,4.069
1,26,9,4.306
1,26,10,4.118
1,26,11,3.791
1,26,12,3.468
1,26,13,3.33
1,26,14,3.123
1,26,15,3.141
1,26,16,3.711
1,26,17,5.158
1,26,18,4.827
1,26,19,4.239
1,26,20,3.555
1,26,21,3.176
1,26,22,3.016
1,26,23,2.8
1,27,0,2.265
1,27,1,2.021
1,27,2,1.951
1,27,3,1.958
1,27,4,1.956
1,27,5,2.188
1,27,6,2.778
1,27,7,3.289
1,27,8,3.333
1,27,9,3.442
1,27,10,3.054
1,27,11,3.053
1,27,12,2.865
1,27,13,2.665
1,27,14,2.608
1,27,15,2.657
1,27,16,3.246
1,27,17,4.222
1,27,18,3.897
1,27,19,3.46
1,27,20,3.222
1,27,21,2.81
1,27,22,2.556
1,27,23,2.384
1,28,0,2.489
1,28,1,2.177
1,28,2,1.977
1,28,3,1.955
1,28,4,2.007
1,28,5,2.433
1,28,6,2.983
1,28,7,3.347
1,28,8,3.258
1,28,9,3.131
1,28,10,3.07
1,28,11,3.028
1,28,12,2.948
1,28,13,2.988
1,28,14,2.863
