month,day_of_month,hour,solar_kw
1,1,0,0.0
1,1,1,0.0
1,1,2,0.0
1,1,3,0.0
1,1,4,0.0
1,1,5,0.0
1,1,6,0.0
1,1,7,0.74
1,1,8,7.47
1,1,9,16.32
1,1,10,24.2
1,1,11,28.07
1,1,12,26.24
1,1,13,20.24
1,1,14,13.54
1,1,15,7.98
1,1,16,1.16
1,1,17,0.0
1,1,18,0.0
1,1,19,0.0
1,1,20,0.0
1,1,21,0.0
1,1,22,0.0
1,1,23,0.0
1,2,0,0.0
1,2,1,0.0
1,2,2,0.0
1,2,3,0.0
1,2,4,0.0
1,2,5,0.0
1,2,6,0.0
1,2,7,1.4
1,2,8,13.57
1,2,9,27.94
1,2,10,39.91
1,2,11,48.53
1,2,12,52.96
1,2,13,45.76
1,2,14,33.31
1,2,15,17.04
1,2,16,1.88
1,2,17,0.0
1,2,18,0.0
1,2,19,0.0
1,2,20,0.0
1,2,21,0.0
1,2,22,0.0
1,2,23,0.0
1,3,0,0.0
1,3,1,0.0
1,3,2,0.0
1,3,3,0.0
1,3,4,0.0
1,3,5,0.0
1,3,6,0.0
1,3,7,1.55
1,3,8,16.4
1,3,9,33.69
1,3,10,46.55
1,3,11,53.93
1,3,12,50.21
1,3,13,39.13
1,3,14,29.07
1,3,15,15.15
1,3,16,1.95
1,3,17,0.0
1,3,18,0.0
1,3,19,0.0
1,3,20,0.0
1,3,21,0.0
1,3,22,0.0
1,3,23,0.0
1,4,0,0.0
1,4,1,0.0
1,4,2,0.0
1,4,3,0.0
1,4,4,0.0
1,4,5,0.0
1,4,6,0.0
1,4,7,1.66
1,4,8,17.39
1,4,9,35.52
1,4,10,48.9
1,4,11,56.46
1,4,12,56.9
1,4,13,50.62
1,4,14,37.42
1,4,15,19.53
1,4,16,2.48
1,4,17,0.0
1,4,18,0.0
1,4,19,0.0
1,4,20,0.0
1,4,21,0.0
1,4,22,0.0
1,4,23,0.0
1,5,0,0.0
1,5,1,0.0
1,5,2,0.0
1,5,3,0.0
1,5,4,0.0
1,5,5,0.0
1,5,6,0.0
1,5,7,1.87
1,5,8,18.7
1,5,9,37.28
1,5,10,50.83
1,5,11,58.25
1,5,12,58.15
1,5,13,49.9
1,5,14,37.52
1,5,15,20.23
1,5,16,2.75
1,5,17,0.0
1,5,18,0.0
1,5,19,0.0
1,5,20,0.0
1,5,21,0.0
1,5,22,0.0
1,5,23,0.0
1,6,0,0.0
1,6,1,0.0
1,6,2,0.0
1,6,3,0.0
1,6,4,0.0
1,6,5,0.0
1,6,6,0.0
1,6,7,1.91
1,6,8,18.62
1,6,9,37.12
1,6,10,51.15
1,6,11,59.06
1,6,12,59.55
1,6,13,52.95
1,6,14,39.42
1,6,15,20.99
1,6,16,2.94
1,6,17,0.0
1,6,18,0.0
1,6,19,0.0
1,6,20,0.0
1,6,21,0.0
1,6,22,0.0
1,6,23,0.0
1,7,0,0.0
1,7,1,0.0
1,7,2,0.0
1,7,3,0.0
1,7,4,0.0
1,7,5,0.0
1,7,6,0.0
1,7,7,1.59
1,7,8,13.54
1,7,9,26.05
1,7,10,35.12
1,7,11,38.78
1,7,12,39.12
1,7,13,35.15
1,7,14,26.04
1,7,15,13.79
1,7,16,2.16
1,7,17,0.0
1,7,18,0.0
1,7,19,0.0
1,7,20,0.0
1,7,21,0.0
1,7,22,0.0
1,7,23,0.0
1,8,0,0.0
1,8,1,0.0
1,8,2,0.0
1,8,3,0.0
1,8,4,0.0
1,8,5,0.0
1,8,6,0.0
1,8,7,0.91
1,8,8,9.85
1,8,9,20.2
1,8,10,28.22
1,8,11,30.13
1,8,12,30.9
1,8,13,26.53
1,8,14,18.35
1,8,15,9.24
1,8,16,1.21
1,8,17,0.0
1,8,18,0.0
1,8,19,0.0
1,8,20,0.0
1,8,21,0.0
1,8,22,0.0
1,8,23,0.0
1,9,0,0.0
1,9,1,0.0
1,9,2,0.0
1,9,3,0.0
1,9,4,0.0
1,9,5,0.0
1,9,6,0.0
1,9,7,1.17
1,9,8,10.02
1,9,9,17.57
1,9,10,16.48
1,9,11,23.24
1,9,12,23.66
1,9,13,21.14
1,9,14,15.33
1,9,15,8.0
1,9,16,1.08
1,9,17,0.0
1,9,18,0.0
1,9,19,0.0
1,9,20,0.0
1,9,21,0.0
1,9,22,0.0
1,9,23,0.0
1,10,0,0.0
1,10,1,0.0
1,10,2,0.0
1,10,3,0.0
1,10,4,0.0
1,10,5,0.0
1,10,6,0.0
1,10,7,0.49
1,10,8,4.07
1,10,9,8.73
1,10,10,9.72
1,10,11,17.43
1,10,12,21.66
1,10,13,22.74
1,10,14,19.94
1,10,15,10.86
1,10,16,1.85
1,10,17,0.0
1,10,18,0.0
1,10,19,0.0
1,10,20,0.0
1,10,21,0.0
1,10,22,0.0
1,10,23,0.0
1,11,0,0.0
1,11,1,0.0
1,11,2,0.0
1,11,3,0.0
1,11,4,0.0
1,11,5,0.0
1,11,6,0.0
1,11,7,1.99
1,11,8,18.97
1,11,9,37.63
1,11,10,51.73
1,11,11,59.43
1,11,12,60.06
1,11,13,53.39
1,11,14,40.27
1,11,15,22.31
1,11,16,3.79
1,11,17,0.0
1,11,18,0.0
1,11,19,0.0
1,11,20,0.0
1,11,21,0.0
1,11,22,0.0
1,11,23,0.0
1,12,0,0.0
1,12,1,0.0
1,12,2,0.0
1,12,3,0.0
1,12,4,0.0
1,12,5,0.0
1,12,6,0.0
1,12,7,1.24
1,12,8,10.57
1,12,9,21.17
1,12,10,30.35
1,12,11,35.86
1,12,12,32.83
1,12,13,26.72
1,12,14,18.77
1,12,15,11.23
1,12,16,2.13
1,12,17,0.0
1,12,18,0.0
1,12,19,0.0
1,12,20,0.0
1,12,21,0.0
1,12,22,0.0
1,12,23,0.0
1,13,0,0.0
1,13,1,0.0
1,13,2,0.0
1,13,3,0.0
1,13,4,0.0
1,13,5,0.0
1,13,6,0.0
1,13,7,1.95
1,13,8,17.79
1,13,9,36.13
1,13,10,50.08
1,13,11,55.35
1,13,12,55.68
1,13,13,52.67
1,13,14,38.92
1,13,15,21.42
1,13,16,3.75
1,13,17,0.0
1,13,18,0.0
1,13,19,0.0
1,13,20,0.0
1,13,21,0.0
1,13,22,0.0
1,13,23,0.0
1,14,0,0.0
1,14,1,0.0
1,14,2,0.0
1,14,3,0.0
1,14,4,0.0
1,14,5,0.0
1,14,6,0.0
1,14,7,1.19
1,14,8,13.17
1,14,9,28.93
1,14,10,40.03
1,14,11,46.02
1,14,12,32.02
1,14,13,27.89
1,14,14,20.75
1,14,15,12.07
1,14,16,2.19
1,14,17,0.0
1,14,18,0.0
1,14,19,0.0
1,14,20,0.0
1,14,21,0.0
1,14,22,0.0
1,14,23,0.0
1,15,0,0.0
1,15,1,0.0
1,15,2,0.0
1,15,3,0.0
1,15,4,0.0
1,15,5,0.0
1,15,6,0.0
1,15,7,1.34
1,15,8,12.3
1,15,9,26.41
1,15,10,36.2
1,15,11,38.33
1,15,12,35.99
1,15,13,28.73
1,15,14,20.9
1,15,15,10.91
1,15,16,1.94
1,15,17,0.0
1,15,18,0.0
1,15,19,0.0
1,15,20,0.0
1,15,21,0.0
1,15,22,0.0
1,15,23,0.0
1,16,0,0.0
1,16,1,0.0
1,16,2,0.0
1,16,3,0.0
1,16,4,0.0
1,16,5,0.0
1,16,6,0.0
1,16,7,1.33
1,16,8,14.62
1,16,9,29.98
1,16,10,41.15
1,16,11,49.75
1,16,12,38.65
1,16,13,33.68
1,16,14,25.51
1,16,15,14.34
1,16,16,2.48
1,16,17,0.0
1,16,18,0.0
1,16,19,0.0
1,16,20,0.0
1,16,21,0.0
1,16,22,0.0
1,16,23,0.0
1,17,0,0.0
1,17,1,0.0
1,17,2,0.0
1,17,3,0.0
1,17,4,0.0
1,17,5,0.0
1,17,6,0.0
1,17,7,1.16
1,17,8,8.84
1,17,9,17.61
1,17,10,14.84
1,17,11,9.14
1,17,12,12.65
1,17,13,6.92
1,17,14,13.16
1,17,15,8.41
1,17,16,1.98
1,17,17,0.0
1,17,18,0.0
1,17,19,0.0
1,17,20,0.0
1,17,21,0.0
1,17,22,0.0
1,17,23,0.0
1,18,0,0.0
1,18,1,0.0
1,18,2,0.0
1,18,3,0.0
1,18,4,0.0
1,18,5,0.0
1,18,6,0.0
1,18,7,1.97
1,18,8,17.5
1,18,9,35.37
1,18,10,49.65
1,18,11,53.94
1,18,12,55.05
1,18,13,48.43
1,18,14,37.72
1,18,15,22.23
1,18,16,4.88
1,18,17,0.0
1,18,18,0.0
1,18,19,0.0
1,18,20,0.0
1,18,21,0.0
1,18,22,0.0
1,18,23,0.0
1,19,0,0.0
1,19,1,0.0
1,19,2,0.0
1,19,3,0.0
1,19,4,0.0
1,19,5,0.0
1,19,6,0.0
1,19,7,2.16
1,19,8,18.97
1,19,9,38.21
1,19,10,51.64
1,19,11,60.25
1,19,12,61.1
1,19,13,55.97
1,19,14,42.67
1,19,15,24.44
1,19,16,5.59
1,19,17,0.0
1,19,18,0.0
1,19,19,0.0
1,19,20,0.0
1,19,21,0.0
1,19,22,0.0
1,19,23,0.0
1,20,0,0.0
1,20,1,0.0
1,20,2,0.0
1,20,3,0.0
1,20,4,0.0
1,20,5,0.0
1,20,6,0.0
1,20,7,2.08
1,20,8,16.2
1,20,9,32.1
1,20,10,45.82
1,20,11,54.66
1,20,12,57.79
1,20,13,38.38
1,20,14,28.4
1,20,15,16.38
1,20,16,3.67
1,20,17,0.0
1,20,18,0.0
1,20,19,0.0
1,20,20,0.0
1,20,21,0.0
1,20,22,0.0
1,20,23,0.0
1,21,0,0.0
1,21,1,0.0
1,21,2,0.0
1,21,3,0.0
1,21,4,0.0
1,21,5,0.0
1,21,6,0.0
1,21,7,2.3
1,21,8,18.57
1,21,9,35.65
1,21,10,49.08
1,21,11,56.71
1,21,12,55.07
1,21,13,48.96
1,21,14,39.55
1,21,15,24.13
1,21,16,6.29
1,21,17,0.0
1,21,18,0.0
1,21,19,0.0
1,21,20,0.0
1,21,21,0.0
1,21,22,0.0
1,21,23,0.0
1,22,0,0.0
1,22,1,0.0
1,22,2,0.0
1,22,3,0.0
1,22,4,0.0
1,22,5,0.0
1,22,6,0.0
1,22,7,2.26
1,22,8,14.68
1,22,9,27.94
1,22,10,35.25
1,22,11,41.14
1,22,12,41.46
1,22,13,16.59
