Region,Year,Season,Mean_kW
north_chennai,2016,Monsoon,17621.021240942027
north_chennai,2016,PostMonsoon,16825.697644927535
north_chennai,2016,Summer,20950.8
north_chennai,2016,Winter,18998.494618055556
north_chennai,2017,Monsoon,17129.08143115942
north_chennai,2017,PostMonsoon,15057.094406702898
north_chennai,2017,Summer,20623.931164617487
north_chennai,2017,Winter,19082.861370056497
north_chennai,2018,Monsoon,17045.55661231884
north_chennai,2018,PostMonsoon,15723.852807971014
north_chennai,2018,Summer,21089.49718237705
north_chennai,2018,Winter,18978.79399717514
north_chennai,2019,Monsoon,17003.452355072463
north_chennai,2019,PostMonsoon,15669.35618206522
north_chennai,2019,Summer,21496.734562841528
north_chennai,2019,Winter,18764.820903954802
north_chennai,2020,Monsoon,15436.297576992753
north_chennai,2020,PostMonsoon,14352.567210144927
north_chennai,2020,Summer,21552.051331967214
north_chennai,2020,Winter,19104.962430555555
central_chennai,2016,Monsoon,17621.021240942027
central_chennai,2016,PostMonsoon,16825.697644927535
central_chennai,2016,Summer,20950.8
central_chennai,2016,Winter,18998.494618055556
central_chennai,2017,Monsoon,17129.08143115942
central_chennai,2017,PostMonsoon,15057.094406702898
central_chennai,2017,Summer,20623.931164617487
central_chennai,2017,Winter,19082.861370056497
central_chennai,2018,Monsoon,17045.55661231884
central_chennai,2018,PostMonsoon,15723.852807971014
central_chennai,2018,Summer,21089.49718237705
central_chennai,2018,Winter,18978.79399717514
central_chennai,2019,Monsoon,17003.452355072463
central_chennai,2019,PostMonsoon,15669.35618206522
central_chennai,2019,Summer,21496.734562841528
central_chennai,2019,Winter,18764.820903954802
central_chennai,2020,Monsoon,15436.297576992753
central_chennai,2020,PostMonsoon,14352.567210144927
central_chennai,2020,Summer,21552.051331967214
central_chennai,2020,Winter,19104.962430555555
south_chennai,2016,Monsoon,18355.21490036232
south_chennai,2016,PostMonsoon,17140.013632246377
south_chennai,2016,Summer,21545.633367486338
south_chennai,2016,Winter,19707.025104166667
south_chennai,2017,Monsoon,17650.614945652174
south_chennai,2017,PostMonsoon,15019.997758152174
south_chennai,2017,Summer,21331.787243852457
south_chennai,2017,Winter,19679.759463276834
south_chennai,2018,Monsoon,18182.505140398553
south_chennai,2018,PostMonsoon,15655.131000905798
south_chennai,2018,Summer,21541.038780737705
south_chennai,2018,Winter,19252.420762711867
south_chennai,2019,Monsoon,17897.436005434785
south_chennai,2019,PostMonsoon,16258.21408514493
south_chennai,2019,Summer,21990.880088797814
south_chennai,2019,Winter,19388.768926553672
south_chennai,2020,Monsoon,16298.943251811595
south_chennai,2020,PostMonsoon,15126.053736413043
south_chennai,2020,Summer,21851.213012295084
south_chennai,2020,Winter,19793.959444444445
